videoId,video_title,video_description,title_word_count,title_exclamation_question_count,how_many_numbers_in_title,words_with_uppercase_in_title,description_word_count,number_of_hashtags_in_description,video_duration,category,day_of_week_uploaded,view_count,like_count,comment_count,channelId,channel_title,subscriberCount,channel_video_count,channel_view_count,days_since_upload
DeL-jcvh1Z8,Control  walkthrough  part 2,Control walkthrough part 2 -- Watch live at https://www.twitch.tv/unleashedixv,4,0,1,1,9,0,8066,20,Wednesday,2,0,0,UC7h5iHVxZlWe93VXsUmUoMw,Unleashed ixv,18,19,864,2275
RikhLXZi8Ws,triple head shot,me hitting a triple head shot,3,0,0,0,6,0,15,22,Friday,36,3,0,UCCdIpAAGTOoHZ0lUq6qRrhg,VXI Gifted IXV,97,20,726,3953
cLQ09kEfHeA,IAN - Fac Haos,,4,0,0,3,0,0,151,22,Saturday,59,1,0,UCHzkFjC8SpNAg2jQB1L0HXg,IXV,1,1,59,676
ewEzMVQnK4U,INSANE PALADINS MATCH (0 death),"Hope you guys enjoyed this... I believe that I was in FaZe for a second
😜Crazy skills 
🤐Comment what was your favorite part
😙Subercribe
😍Leave a like if you thought it was good

SONG- @TRAPNATION-Tiger


⬇⬇⬇⬇⬇⬇⬇⬇⬇⬇⬇⬇⬇⬇⬇⤵
instagram- @i.xiii.i.xiv.x.ix.xix  Go Follow for Memes ✔

👻Snapchat- XxUnicornzZ
I REALLY DON'T POST A LOT ON IT😩

Youtube- You already know it 😂
SMASH THE LIKE BUTTON",5,0,1,3,63,0,403,20,Friday,34,7,5,UCXbu0Gm4GG619iWE9FViv-A,IXV Supreme,14,11,385,3092
a5glf3E5krk,Fortnite*,"SHAREfactory™
https://store.playstation.com/#!/en-us/tid=CUSA00572_00",1,0,0,1,2,1,103,20,Monday,6,2,0,UCFdL0_LLjtB98tHH9DNwFtw,iXV-Strange,5,6,99,2074
rr1PnFrDCHQ,Small cpver of Idsmile made by me :D,,8,0,0,3,0,0,25,22,Wednesday,11,2,0,UCJ4mk3WWMjwllwTk-sZ8b4w,IXV <3,0,1,11,329
TfamDoHh6D0,Free style in India #freefire,,5,0,0,2,0,0,13,20,Sunday,68,,3,UCowCDFaE62s8BgLqq3kIRPg,9x Prime,60,18,16480,24
FrGFX9PMNvw,Mind Relax Lo-fi | Mashup Lofi Songs | Feel The Music | Remix Lofi / SLOWED + REVERB | Lofi Zone,"RELAXING MIND SONG Mind-Blowing Mashup of Lofi Bollywood and Pop Songs!

Use Headphone for best experience 🎧💜

check out this also

🎧45 min of peace Lofi:

🎧Mashup For Study:

🎧Relax Lofi:

In this mind-blowing mashup, you'll get to enjoy some of the best dreamy and relaxing Lofi Bollywood songs! From Aap Ki Aag to Dilwale Dulhania Le Jayenge, this compilation of songs is sure to put you in a good mood!

Whether you're looking for a way to wind down after a long day or just want to relax, this mind-blowing mashup of Bollywood songs is the perfect playlist for you! From the mellow to the melodic, this compilation is sure to take your breath away!

#lofisong#slowedreverb#lovesong #lovelofisong
#lofisongs#arjitsinghsong
#atifaslam #arijitsingh #slowedandreverb #bollywoodlof #bollywoodslowed #slowedreverbbollywoodlofi #slowedsongs #reverbedsongs #lofibollywood #lofi #desilofi #bollywoodlofi #djchetangulati #music #musicpromotion #lofiedits #lofiaesthetic #lofimusic #lofibeats #lofivibes #lofihiphop #lofichill #lofimusic #chillout #chilloutvibes #chillvibes #chillvibes #chilling #chilling #relax #relaxmusic #relaxingsounds #lofi #lofimusic #lofibeats #chilled #vibemusicstatus

Disclaimer: Copyright Disclaimer Under Section 107 of Copyright Act

1976, allowance is made for ""fair use"" for purposes such as criticisms, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use.

Do Subscribe to the channel.",21,0,0,15,216,43,1806,10,Saturday,34,8,0,UCBfl7PTtXP0yIY7moiPbgrQ,lofi Music 9x,48,3,61,977
ot3Vpt8CWF8,#freefire#shorts#freefireclips#viral#viralvideo#garenafreefire #phonk #phonkmusic #edit,,4,0,0,0,0,0,39,22,Tuesday,40,9,0,UCrNqlMcJqUbxnwVrEPNkLxQ,Xenorrr. 9x,30,17,8970,120
iyfDla41xC4,lone wolf 1v1 match #freefirehighlights #freefire #longvideo,,7,0,2,0,0,0,63,20,Saturday,47,2,1,UCCk1kePp9Wx0XEoNI8rqg3w,JCOWF 9X,98,106,30075,437
UF5dsE74eOk,What is Bitcoin? | Explained Simply for Beginners,"What is Bitcoin? Who created it? How does it work? And what does the future of Bitcoin look like? In this video, we break it all down in a fun, simple, and animated way—perfect for beginners!

Discover the mystery behind Satoshi Nakamoto, understand blockchain technology, and explore how Bitcoin is changing the world of finance. Whether you're a crypto newbie or just curious about the future of money, this video is your ultimate guide to Bitcoin in 2025.

🔔 Don’t forget to Like, Subscribe, and Hit the Bell icon for more crypto content every week!

👇 Drop your thoughts in the comments:
Where do you see Bitcoin in the next 10 years?

#Bitcoin #CryptoExplained #Blockchain #SatoshiNakamoto #DigitalGold #Crypto2025 #MakeMoneyOnline #CryptoBeginners #BitcoinFuture #FinanceRevolution #9xcoin #9xworld",8,1,0,5,124,12,167,22,Wednesday,59,0,0,UC-_4bKsZK9SS2tf0dfeDUzg,9x Coin,3,10,285,217
YB1_FMHlFV4,আমার নতুন আইডি সবাই subscribe karo and like koro ,,9,0,0,0,0,0,22,22,Sunday,16,2,0,UC8Kojy5nfpBXShkeJ029LEA,Masfi 9x,6,4,288,38
vp5viQpZGnc,Ladai ki video of X comedy,,6,0,0,2,0,0,206,22,Saturday,206,29,,UCrJHL8A-63wxe8xFkvLqakQ,9x comedy,61,10,1341,32
Ve_oc-3u1Xo,Waiting always brings you the right moment to act.,"cod modern warfare 2. game clips from Xbox series s. id@dapperlizard289 dapperlizard289
#callofduty #xboxseriess #modernwarfare2",9,0,0,1,15,3,59,22,Sunday,16,,0,UC9J98MhkZ7q-Z1ApNUWlzrw,9X Rey,3,22,398,990
QjgqHfewrCo,this true 9x   #freefire #song #garenafreefire #gaming #shorts #sports,,9,0,1,0,0,0,11,20,Wednesday,108,,,UCWzwowK-vJKJtCL7Ga0n9lg,9X Alien,11,7,2623,84
6HncHC-8jZU,enjoy 1v3 🗿⚡ youtube channel subscribe #realme6gameplay #gaming #bgmi #pubgmobile,,10,0,3,0,0,0,26,20,Tuesday,690,,0,UCWow-Gh57fgozffA81XDZkA,9X PLAYZ ,97,112,43029,22
3q7EjyqDBTk,Trading 101: Your First Step Into Financial Markets [Beginner’s Guide 2025] | 9xMarkets,"New to financial trading and not sure where to start? This beginner-friendly class gives you a solid foundation without jargon or hype. You’ll learn how markets are structured, what different instruments mean in practice, how order types work, and why risk control matters more than any single strategy. We walk through the essentials of using a trading platform, interpreting quotes and spreads, calculating position size with leverage and margin, and building a simple, repeatable routine for your first month. The goal is clarity: understand how decisions turn into trades, how costs impact results, and how to protect yourself from common beginner mistakes.

We start with the big picture: what moves forex, indices, commodities, and crypto CFDs, and how liquidity and sessions affect price behavior. You’ll see how brokers, liquidity providers, and pricing streams interact, so you can set realistic expectations about execution, slippage, and swaps. Next, we simplify order types—market, limit, and stop—and show where each makes sense. You’ll practice thinking in risk units (R), so one losing trade never derails your plan. We’ll also cover the difference between spread-only and commission models, how to read the contract specifications for an instrument, and what changes when volatility expands.

To make it practical, we include a day-one setup checklist: creating a clean watchlist, choosing two or three instruments to focus on, turning on two-factor authentication, and setting platform defaults (lot step, one-click trading, confirmations). We outline a compact pre-trade routine—identify the session, note key levels, define invalidation, pre-calculate stop distance, convert it into position size, and only then place the order. After entry, you’ll learn how to monitor margin level, track unrealized P/L, and manage exits without second-guessing every tick. A simple post-trade journal template helps you capture entry rationale, risk taken, result vs. plan, and one improvement for the next trade.

Common pitfalls are addressed head-on: over-sizing positions, chasing news candles, trading too many pairs, moving stops, revenge trading, and ignoring swap/financing costs. You’ll learn a lightweight approach to drawdown control—hard daily loss limit, weekly circuit-breaker, and how to scale down size during losing streaks. Finally, we map out a 30-day practice plan: weeks one and two on execution basics, week three on consistency and journaling, week four on refining your edge and creating a checklist you’ll actually use.

You’ll learn
• Market structure, instruments, and sessions in plain language
• Platform basics: symbols, order tickets, stop/limit usage, P/L and margin
• Position sizing by risk amount rather than “lots that feel right”
• A simple trade lifecycle: prepare, place, manage, review
• A month-one routine that builds skill without burning capital

Who this is for
Absolute beginners, explorers switching brokers, and anyone who wants a clear, rules-based start focused on risk and repeatability rather than shortcuts.

Mini-exercises
• Convert a fixed money risk into lot size for three instruments
• Write a one-sentence trade thesis before every entry
• Define your daily max loss and stick to it for two weeks
• Journal five trades and identify a single recurring improvement

Common mistakes we fix
Oversized leverage, trading every alert, confusing market vs. pending orders, ignoring swaps, skipping the journal, and adding to losing trades.

FAQs

Do I need a strategy before I start?
You need a basic framework first: risk per trade, when you’ll enter/exit, and what invalidates a trade. A simple approach beats a complex one you won’t follow.

How much capital do I need?
Enough to apply your chosen risk per trade without rounding errors. Focus on percentage/risk-unit thinking; consistency matters more than account size at the start.

Is leverage good or bad?
Leverage is a tool; misuse makes losses faster. Keep per-trade risk small and margin levels healthy, and you’ll neutralize most leverage risks.

Why am I stopped out quickly?
Stops are often set inside market noise. Base stop distance on structure/volatility, then size your position to fit your risk amount.

How do I avoid overtrading?
Limit instruments, predefine setups, cap daily trades, and require a written thesis before clicking buy/sell.

Risk Warning: CFDs are complex instruments and come with a high risk of losing money rapidly due to leverage. Educational content only; not financial advice.",13,0,8,10,691,0,3124,22,Wednesday,64,4,1,UCnSPE--OTK8I9CMOzP9tYBQ,9x Markets,89,13,2804,70
K5fp-IrMqCM,🤘#👊,,1,0,0,0,0,0,26,20,Tuesday,29,5,0,UCJXBZmDEIqA0m903SfsawXQ,9X DEMO,23,31,12970,176
Jw0LXRWPmsg,250ping movement demon,"bo6 ranked on 250 ping
song : shakewell - solutions",3,0,3,0,10,0,201,20,Sunday,9,0,1,UCgLqVwyUx18xIa6yMkZyBQg,9x,3,6,61,269
eUc8ypXTmh8,STUCK IN MY HEAD,"[Intro: Aminchinakanye, Duke, Asstray]
Yo FSB y'all want to come out here?

What do you mean you can't come thru?
I don't know, lie?
Say anything, I'm really trying to see you, shit

[Verse 1: Duke]
I need you right now baby, stuck in my headspace
Can't go a day, without thinking about you, thinking about you
If I disappear tomorrow baby would you still be here? stop sending me mixed signals
Baby can we keep it clear? (Oh-Oh-Oh-Oh)

[Verse 2: Unc]
Stuck in my head, hope it don't end
Love you to death but let's just pretend (Just pretend)
Gave you my all, fought through it all, but I know it's not my fault (Not my fault)
We tried to be ourselves, but now you got me in your spell (In your spell) 
Don't know what to do with myself (Myself) oh baby

[Verse 3: HP]
Never knew you could be like this, stuck on my head stop telling me shit
Oh (Oh) that don't even matter, man you just a liar (Liar)
Nevermind this, Nevermind that baby fuck all this bullshit I want to go back
(Thinking about you)

[Verse 4: Duke, Asstray]
I need you right now, get out of my head baby 
I can't stop thinking about you

I said baby come through, tell me that you love me baby I ain't got a clue
I miss the way you used to stick to me like glue
I'm sorry that I've hurt you said some things weren't true
Baby come through, I said baby come through (Through, mmm-mmm)

[Verse 5: Asstray, Duke]
You outside yet? 
Shit alright, just let me know

Problems coming up don't know how we'll get through this
Faith in you and I baby don't get it twisted, twisted (Oh-Oh-Oh)
Trying to be the best version of myself for you, trying to be someone providing not a selfish dude (Baby let me through)
Your heart your heart is mine to keep, your heart your heart is all I need baby

[Outro: HP]
GUYS DUTT WAS A U R A",4,0,0,4,346,0,212,22,Tuesday,1324,9,11,UC5GBap1UrnkgjQq5cadEdTQ,FSB,15,2,1960,491
#NUME?,FSB Maine - 6 figure rollin (Out Now) Link In Bio     INSTAGRAM - fsb_maine,,14,0,1,8,0,0,19,22,Thursday,299,4,0,UCAfQIH3HRHDFzCDNxXT2KXA,FSB Maine,83,35,4476,
7maWnQUpwbQ,FSB - Stockerau; Musik: Fäaschtbänkler - Can you english please & Amy Wald - Mehr Als Nur Ein Like,"FSB - Stockerau - Fachschule für Sozialberufe - dreijährige Fachschule - Niederösterreich

Schulfilm - Schulpräsentation - Schulvorstellung


Musik: 
Fäaschtbänkler - Can you english please
Amy Wald - Mehr Als Nur Ein Like


Bechreibung:

Wir sind eine kleine Schule mit einem großen Herz.  

Mit diesem Schulfilm stellt sich die Fachschule für Sozialberufe Stockerau bei dir vor. Du bekommst einen tollen Einblick in das abwechslungsreiche Schulleben und die Praktika. 


Überzeuge dich selbst! Folge uns auf Instagram, Facebook und Youtube und stöbere durch unsere Homepage http://www.fsstockerau.ac.at/
PS. Schulfilm bis ganz zum Schluss schauen ;) 


Wir bedanken uns bei


Direktorin Mag. Andrea Pichler
Schwester Hemma – Schulerhalter Steyler Missionsschwestern Kloster St. Koloman 


Fäaschtbänkler – „Can you english please”
mit freundlicher Erlaubnis von ROSENKLANG Musikmanagement
Martin Simma


Amy Wald - ""Mehr Als Nur Ein Like""  
© & ℗ Amy Wald und break them RECORDS 2020
mit freundlicher Erlaubnis von break them RECORDS


Andreas Kunzl – Pro Digital für den Schnitt des Schulfilms



dem gesamten Schulteam
den Lehrfamilien für die Vorstellung des Familienpraktikums
den sozialen Einrichtungen für die Vorstellung des Sozialpraktikums
allen mitwirkenden Schülerinnen und Schülern des Jahrgangs 2020/2021



Aus datenschutzrechtlichen Gründen werden keine Namen von Schülerinnen und Schülern genannt.",19,0,0,12,194,0,762,27,Monday,2516,111,9,UCX6O28l2yZRlrHSr1UK0mpA,FSB - Fachschule für Sozialberufe Stockerau,59,17,6927,1836
FW5Dcs7jJFo,8h endurance kyustendil revers,29.08.21,4,0,1,0,1,0,532,1,Tuesday,131,2,0,UCwq8TWeQkLphXmDmPaY6U5w,FSB Kristiyan Ivanov,50,44,9567,1541
H1xMAFG74dQ,Né quelque part - FSB#9,"FSB - Friends, Songs & Beers
9ème édition au Circus (Capbreton) le 23 mai 2025.

Né quelque part - Maxime Leforestier
Arrangement et direction : Marie So
Guitare (+Instru) : Chris Trottet
Captation vidéo :  Filmmaker Landais
Montage Vidéo : Marie So

Chorale éphémère ouverte à tous !

+ d'INFO sur:
www.instagram.com/friends.songs.and.beers/
www.choralecapbreton.com/fsb-open-choir/
www.facebook.com/fsbopenchoir",5,0,1,2,54,0,250,10,Friday,497,10,1,UCYqNQzGBUSeLlVvis05syqA,FSB - Open Choir,91,18,18384,138
FWJPMPNQgF8,Demonstrating the MS320 Motorcycle Dolly,This is a brief demonstration of the MS320 Motorcycle Dolly using a 340kg Triumph Rocket 3.,5,0,3,4,16,0,186,19,Saturday,90,0,0,UCloboByWTudYXAPfWuxZjrA,FSB,45,35,9851,2733
kZV4_g57268,Le son maintenant disponible #music,,5,0,0,1,0,0,26,22,Saturday,20,4,1,UCaA0LYDgtlhyIkW-alAsE-A,Prince FSB,37,5,3368,39
Wl4pEVfszHU,"Exhibitor Interview: Omar Hussain, Project Manager, Bejadin",,7,0,0,7,0,0,103,22,Tuesday,67,6,0,UCOVs5PnbEAhNlLDb5UtgCtg,FSB Sports Show Riyadh,21,27,1906,113
_MVRqJa9MGw,FSB series | Episode 8 |,"Welcome to episode 8 of the FSB series! In the last one for the year, Aleena Saju shares how she was inspired to begin a social media page titled ""Prophets & Saints"", and her inspirations for the page! Links to the page below!

Prophets & Saints -  https://www.instagram.com/prophets.and.saints/
Instagram page - https://www.instagram.com/mark_10_51/",6,0,1,2,52,0,1767,22,Friday,211,6,0,UCVBhMb44YZ4R2XOg71sMOyg,FSB,18,10,1514,327
UJ0mu2KP4xg,01-Alma ( Official Áudio),"EP 23 DE MAIO.

Facebook: https://www.facebook.com/familia.fsb
Instagram",4,0,2,3,7,0,226,10,Wednesday,16,1,1,UCmKcQkBma7jcPA4lLlh_O3Q,FsB G4ng,17,16,467,1092
jEx_W8DOqKc,FSB Live Stream,,3,0,0,3,0,0,0,20,Saturday,0,0,0,UCPRrgfTTioKBK3DyysN-ulw,FSB,0,1,4,1768
GIhwWLJsjjA,Chillin with my FSB gangs,,5,0,0,2,0,0,7,22,Friday,135,3,2,UC4EriJOUs6ddKCNJs5IWcVw,FSB stanem,33,15,2214,481
FIV695-_tL0,Last Chance Saloon - FC25 TOTY RTG Episode 10,"Last Chance Saloon - FC25 TOTY RTG Episode 10

We are back with a new RTG series where 3 creators will be coming together to play games, open pack and grind content on a brand new EAFC 25 account for Team of the Year in the hopes of packing a TOTY. 

In this Episode all 3 of us will be opening the pack we have built and the FUT Champ rewards as a last chance of getting a TOTY for the RTG.

Thats right, Mersgoth, B-RAD and LAJS are back together to bring YOU guys some of the BEST FC Content around! 

Please Subscribe to the channel and turn that notification bell on so you can keep up with our uploads! 

FSB Links
Twitter - https://twitter.com/FSBcreators
YouTube - https://www.youtube.com/channel/UCgu5vfzPo7Z7uvGdsfVVjDw
Discord - https://discord.gg/vzADe8yn8Z

Mersgoth's Links

Twitter - https://twitter.com/LordMersgoth
YouTube - https://www.youtube.com/channel/mersgoth
Twitch - https://www.twitch.tv/mersgoth
Tik Tok - https://www.tiktok.com/@mersgoth?lang=en

B-Rad's Links    
 
Twitter - https://twitter.com/BRAD861
YouTube - https://www.youtube.com/channel/UCFeMvsZwiWFmQf0re3QNzFQ
Instagram - https://www.instagram.com/b_rad86_yt/

LAJS Links

Twitter - https://twitter.com/lsturmey64
YouTube - https://www.youtube.com/@UCP7kPFH8gWXHE_WZ_TLyQ9w 
Twitch - https://www.twitch.tv/lajs1996
Tik Tok - https://www.tiktok.com/@lajs1996?lang=en

#FC25 #TOTY #RTG",9,0,4,7,176,3,1040,20,Friday,76,4,3,UCgu5vfzPo7Z7uvGdsfVVjDw,FSB CREATORS,99,156,9927,285
0X9kmwZq9lQ,28 Eylül 2025,,3,0,6,1,0,0,42,22,Sunday,33,10,0,UCxFhmIcK4qHRMwutATD9o3Q,FRM CHİP TUNİNG,19,8,7196,52
vayXJwuaWYY,Broker Safehouse [GTA V MLO INTERIOR],"Frm_ #6666
Discord : https://discord.gg/wcvQBtx

Unavailable rn

Music: Tyga - Taste ft. Offset (Instrumental)
https://youtu.be/gMznyUw_5jQ",6,0,0,6,15,1,45,20,Monday,9014,41,3,UC5xsPHtlbGYfH7xzlHVN-1Q,Frm,60,3,55538,1927
10hLXef4xKc,2025 Noviembre.,,2,0,4,1,0,0,55,22,Friday,1263,8,0,UCe2Rjeq_HpzmtWmSoo8vJ1g,frm,90,541,101864,5
wJIo7w0e7GY,Champions League Highlights: Arsenal 4-0 Atlético & Man City 2-0 Villarreal | Full Recap & Analysis”,,16,0,4,11,0,0,122,22,Wednesday,4,1,0,UCrMs5odXCYj1XWnKiw5HzRg,FRM,0,3,7,28
SKGfyLGm7Rc,How to turn on Minecraft Vibrant Visuals 🐉,Hey folks how y'all doing this is my first video hope you'll like it subscribe ❤️❤️,8,0,0,4,16,0,56,22,Tuesday,179,15,3,UCV3SlJwwAQ1Xl-81eJbZ1dg,FRM.tauntOGx,35,6,2458,155
RL_G5_LHxXQ,Ruslan Amuev vs Salavdi Dzhamaldaev,"KO/TKO, Ground and Pound
4:57 Round 1 of 3",5,0,0,4,9,0,1269,22,Monday,75,3,0,UCKDPd31p2Xm-o4nigjUX6Lg,FRM EUROPE,6,6,573,65
